id,value,name,isParent
229,230624,杜尔伯特蒙古族自治县,False
232,230700,伊春市本级,False
234,230702,伊春区,False
236,230703,南岔区,False
238,230704,友好区,False
240,230705,西林区,False
242,230706,翠峦区,False
244,230707,新青区,False
246,230708,美溪区,False
248,230709,金山屯区,False
250,230710,五营区,False
252,230711,乌马河区,False
254,230712,汤旺河区,False
256,230713,带岭区,False
258,230714,乌伊岭区,False
260,230715,红星区,False
262,230716,上甘岭区,False
264,230722,嘉荫县,False
266,230781,铁力市,False
152,230300,鸡西市本级,False
154,230302,鸡冠区,False
156,230303,恒山区,False
158,230304,滴道区,False
160,230305,梨树区,False
162,230306,城子河区,False
164,230307,麻山区,False
166,230321,鸡东县,False
168,230381,虎林市,False
170,230382,密山市,False
173,230400,鹤岗市本级,False
175,230402,向阳区,False
177,230403,工农区,False
179,230404,南山区,False
181,230405,兴安区,False
183,230406,东山区,False
185,230407,兴山区,False
187,230421,萝北县,False
189,230422,绥滨县,False
117,230200,齐齐哈尔市本级,False
119,230202,龙沙区,False
121,230203,建华区,False
123,230204,铁锋区,False
125,230205,昂昂溪区,False
127,230206,富拉尔基区,False
129,230207,碾子山区,False
131,230208,梅里斯达斡尔族区,False
133,230221,龙江县,False
135,230223,依安县,False
137,230224,泰来县,False
139,230225,甘南县,False
141,230227,富裕县,False
143,230229,克山县,False
145,230230,克东县,False
147,230231,拜泉县,False
149,230281,讷河市,False
659,321300,宿迁市本级,False
661,321302,宿城区,False
663,321311,宿豫区,False
665,321322,沭阳县,False
667,321323,泗阳县,False
669,321324,泗洪县,False
644,321200,泰州市本级,False
646,321202,海陵区,False
648,321203,高港区,False
650,321281,兴化市,False
652,321282,靖江市,False
654,321283,泰兴市,False
656,321284,姜堰市,False
78,230100,哈尔滨市本级,False
80,230102,道里区,False
82,230103,南岗区,False
84,230104,道外区,False
86,230108,平房区,False
88,230109,松北区,False
90,230110,香坊区,False
92,230111,呼兰区,False
94,230112,阿城区,False
96,230123,依兰县,False
98,230124,方正县,False
100,230125,宾县,False
102,230126,巴彦县,False
104,230127,木兰县,False
106,230128,通河县,False
108,230129,延寿县,False
110,230182,双城市,False
112,230183,尚志市,False
114,230184,五常市,False
629,321100,镇江市本级,False
631,321102,京口区,False
633,321111,润州区,False
635,321112,丹徒区,False
637,321181,丹阳市,False
639,321182,扬中市,False
641,321183,句容市,False
612,321000,扬州市本级,False
614,321002,广陵区,False
616,321003,邗江区,False
618,321011,维扬区,False
620,321023,宝应县,False
622,321081,仪征市,False
624,321084,高邮市,False
626,321088,江都市,False
591,320900,盐城市本级,False
593,320902,亭湖区,False
595,320903,盐都区,False
597,320921,响水县,False
599,320922,滨海县,False
601,320923,阜宁县,False
603,320924,射阳县,False
605,320925,建湖县,False
607,320981,东台市,False
572,320800,淮安市本级,False
574,320802,清河区,False
576,320803,楚州区,False
578,320804,淮阴区,False
580,320811,清浦区,False
582,320826,涟水县,False
584,320829,洪泽县,False
586,320830,盱眙县,False
588,320831,金湖县,False
555,320700,连云港市本级,False
557,320703,连云区,False
559,320705,新浦区,False
561,320706,海州区,False
563,320721,赣榆县,False
565,320722,东海县,False
567,320723,灌云县,False
569,320724,灌南县,False
609,320982,大丰市,False
511,320500,苏州市本级,False
513,320502,沧浪区,False
515,320503,平江区,False
517,320504,金阊区,False
519,320505,虎丘区,False
521,320506,吴中区,False
523,320507,相城区,False
525,320581,常熟市,False
527,320582,张家港市,False
529,320583,昆山市,False
531,320584,吴江市,False
533,320585,太仓市,False
536,320600,南通市本级,False
538,320602,崇川区,False
540,320611,港闸区,False
542,320621,海安县,False
544,320623,如东县,False
546,320681,启东市,False
548,320682,如皋市,False
550,320683,通州市,False
552,320684,海门市,False
494,320400,常州市本级,False
496,320402,天宁区,False
498,320404,钟楼区,False
500,320405,戚墅堰区,False
502,320411,新北区,False
504,320412,武进区,False
506,320481,溧阳市,False
508,320482,金坛市,False
450,320200,无锡市本级,False
452,320202,崇安区,False
454,320203,南长区,False
456,320204,北塘区,False
458,320205,锡山区,False
460,320206,惠山区,False
462,320211,滨湖区,False
464,320281,江阴市,False
466,320282,宜兴市,False
421,320100,南京市本级,False
423,320102,玄武区,False
425,320103,白下区,False
427,320104,秦淮区,False
429,320105,建邺区,False
431,320106,鼓楼区,False
433,320107,下关区,False
435,320111,浦口区,False
437,320113,栖霞区,False
439,320114,雨花台区,False
441,320115,江宁区,False
443,320116,六合区,False
445,320124,溧水县,False
447,320125,高淳县,False
469,320300,徐州市本级,False
471,320302,鼓楼区,False
473,320303,云龙区,False
475,320304,九里区,False
477,320305,贾汪区,False
479,320311,泉山区,False
481,320321,丰县,False
483,320322,沛县,False
485,320323,铜山县,False
844,331000,台州市本级,False
846,331002,椒江区,False
848,331003,黄岩区,False
850,331004,路桥区,False
852,331021,玉环县,False
854,331022,三门县,False
856,331023,天台县,False
858,331024,仙居县,False
860,331081,温岭市,False
862,331082,临海市,False
865,331100,丽水市本级,False
867,331102,莲都区,False
869,331121,青田县,False
871,331122,缙云县,False
873,331123,遂昌县,False
875,331124,松阳县,False
877,331125,云和县,False
879,331126,庆元县,False
881,331127,景宁畲族自治县,False
883,331181,龙泉市,False
487,320324,睢宁县,False
489,320381,新沂市,False
491,320382,邳州市,False
7984,331099,台州经济开发区,False
782,330600,绍兴市本级,False
784,330602,越城区,False
786,330621,绍兴县,False
788,330624,新昌县,False
790,330681,诸暨市,False
792,330682,上虞市,False
794,330683,嵊州市,False
818,330800,衢州市本级,False
820,330802,柯城区,False
822,330821,衢江区,False
824,330822,常山县,False
826,330824,开化县,False
828,330825,龙游县,False
830,330881,江山市,False
